NCM	Início de vigência da NCM	Fim de vigência da NCM	uTrib para uso em operações de Exportação (Abreviatura)	Descrição da uTrib utilizada em operações de Exportação
04014010	42370	48		Quilograma
04014021	42370	48		Quilograma
04014029	42370	48		Quilograma
04015010	42370	48		Quilograma
04015021	42370	48		Quilograma
04015029	42370	48		Quilograma
04021010	42370	48		Quilograma
04021090	42370	48		Quilograma
04022110	42370	48		Quilograma
04022120	42370	48		Quilograma
04022130	42370	48		Quilograma
04022910	42370	48		Quilograma
04022920	42370	48		Quilograma
04022930	42370	48		Quilograma
04029100	42370	48		Quilograma
04029900	42370	48		Quilograma
04032000	44652	48		Quilograma
04039000	42370	48		Quilograma
04041000	42370	48		Quilograma
04049000	42370	48		Quilograma
04051000	42370	48		Quilograma
04052000	42370	48		Quilograma
04059010	42370	48		Quilograma
04059090	42370	48		Quilograma
04061010	42370	48		Quilograma
04061090	42370	48		Quilograma
04062000	42370	48		Quilograma
04063000	42370	48		Quilograma
04064000	42370	48		Quilograma
04069010	42370	48		Quilograma
04069020	42370	48		Quilograma
04069030	42370	48		Quilograma
04069090	42370	48		Quilograma
04071100	42370	482		Duzia
04071900	42370	482		Duzia
04072100	42370	482		Duzia
04072900	42370	482		Duzia
04079000	42370	48		Quilograma
04081100	42370	48		Quilograma
04081900	42370	48		Quilograma
04089100	42370	48		Quilograma
04089900	42370	48		Quilograma
04090000	42370	48		Quilograma
04101000	44652	48		Quilograma
04109000	44652	48		Quilograma
05010000	42370	48		Quilograma
05021011	42370	48		Quilograma
05021019	42370	48		Quilograma
05021090	42370	48		Quilograma
05029010	42370	48		Quilograma
05029020	42370	48		Quilograma
05040011	42370	48		Quilograma
05040012	42370	48		Quilograma
05040013	42370	48		Quilograma
05040019	42370	48		Quilograma
05040090	42370	48		Quilograma
05051000	42370	48		Quilograma
05059000	42370	48		Quilograma
05061000	42370	48		Quilograma
05069000	42370	48		Quilograma
05071000	42370	48		Quilograma
05079000	42370	48		Quilograma
05080000	42370	48		Quilograma
05100010	42370	48		Quilograma
05100090	42370	48		Quilograma
05111000	42370	514		Grama
05119110	42370	48		Quilograma
05119190	42370	48		Quilograma
05119910	42370	48		Quilograma
05119920	42370	48		Quilograma
05119930	42370	48		Quilograma
05119991	42370	48		Quilograma
05119999	42370	48		Quilograma
06011000	42370	4		Unidade
06012000	42370	4		Unidade
06021000	42370	4		Unidade
06022000	42370	4		Unidade
06023000	42370	4		Unidade
06024000	42370	4		Unidade
06029010	42370	48		Quilograma
06029021	42370	4		Unidade
06029029	42370	4		Unidade
06029081	42370	4		Unidade
06029082	42370	4		Unidade
06029083	42370	4		Unidade
06029089	42370	4		Unidade
06029090	42370	4		Unidade
06031100	42370	482		Duzia
06031200	42370	482		Duzia
06031300	42370	482		Duzia
06031400	42370	482		Duzia
06031500	42370	482		Duzia
06031900	42370	482		Duzia
06039000	42370	48		Quilograma
06042000	42370	48		Quilograma
06049000	42370	48		Quilograma
07011000	42370	48		Quilograma
07019000	42370	48		Quilograma
07020000	42370	48		Quilograma
07031011	42370	48		Quilograma
07031019	42370	48		Quilograma
07031021	42370	48		Quilograma
07031029	42370	48		Quilograma
07032010	42370	48		Quilograma
07032090	42370	48		Quilograma
07039010	42370	48		Quilograma
07039090	42370	48		Quilograma
07041000	42370	48		Quilograma
07042000	42370	48		Quilograma
07049000	42370	48		Quilograma
07051100	42370	48		Quilograma
07051900	42370	48		Quilograma
07052100	42370	48		Quilograma
07052900	42370	48		Quilograma
07061000	42370	48		Quilograma
07069000	42370	48		Quilograma
07070000	42370	48		Quilograma
07081000	42370	48		Quilograma
07082000	42370	48		Quilograma
07089000	42370	48		Quilograma
07092000	42370	48		Quilograma
07093000	42370	48		Quilograma
07094000	42370	48		Quilograma
07095100	42370	48		Quilograma
07095200	44652	48		Quilograma
07095300	44652	48		Quilograma
07095400	44652	48		Quilograma
07095500	44652	48		Quilograma
07095600	44652	48		Quilograma
07095900	42370	48		Quilograma
07096000	42370	48		Quilograma
07097000	42370	48		Quilograma
07099100	42370	48		Quilograma
07099200	42370	48		Quilograma
07099300	42370	48		Quilograma
07099911	42370	48		Quilograma
07099919	42370	48		Quilograma
07099990	42370	48		Quilograma
07101000	42370	48		Quilograma
07102100	42370	48		Quilograma
