CFOP	Início de vigência	Fim de vigência	indNFe	indComunica	indTransp	indDevol	indRetor	indAnula	indRemes	indComb
5160	43344	1		0	0	0	0	0	0	0
5201	38718	1		0	0	1	0	0	0	0
5202	38718	1		0	0	1	0	0	0	0
5205	38718	1		0	0	0	0	1	0	0
5206	38718	1		0	0	0	0	1	0	0
5207	38718	1		0	0	0	0	1	0	0
5208	38718	1		0	0	1	0	0	0	0
5209	38718	1		0	0	1	0	0	0	0
5210	38718	1		0	0	1	0	0	0	0
5213	43101	1		0	0	1	0	0	0	0
5214	43101	1		0	0	1	0	0	0	0
5215	43101	1		0	0	1	0	0	0	0
5216	43586	1		0	0	1	0	0	0	0
5251	38718	1		0	0	0	0	0	0	0
5252	38718	1		0	0	0	0	0	0	0
5253	38718	1		0	0	0	0	0	0	0
5254	38718	1		0	0	0	0	0	0	0
5255	38718	1		0	0	0	0	0	0	0
5256	38718	1		0	0	0	0	0	0	0
5257	38718	1		0	0	0	0	0	0	0
5258	38718	1		0	0	0	0	0	0	0
5301	38718	0		1	0	0	0	0	0	0
5302	38718	0		1	0	0	0	0	0	0
5303	38718	0		1	0	0	0	0	0	0
5304	38718	0		1	0	0	0	0	0	0
5305	38718	0		1	0	0	0	0	0	0
5306	38718	0		1	0	0	0	0	0	0
5307	38718	0		1	0	0	0	0	0	0
5351	38718	0		0	1	0	0	0	0	0
5352	38718	0		0	1	0	0	0	0	0
5353	38718	0		0	1	0	0	0	0	0
5354	38718	0		0	1	0	0	0	0	0
5355	38718	0		0	1	0	0	0	0	0
5356	38718	0		0	1	0	0	0	0	0
5357	38718	0		0	1	0	0	0	0	0
5359	38718	0		0	1	0	0	0	0	0
5360	38718	0		0	1	0	0	0	0	0
5401	38718	1		0	0	0	0	0	0	0
5402	38718	1		0	0	0	0	0	0	0
5403	38718	1		0	0	0	0	0	0	0
5405	38718	1		0	0	0	0	0	0	0
5408	38718	1		0	0	0	0	0	0	0
5409	38718	1		0	0	0	0	0	0	0
5410	38718	1		0	0	1	0	0	0	0
5411	38718	1		0	0	1	0	0	0	0
5412	38718	1		0	0	1	0	0	0	0
5413	38718	1		0	0	1	0	0	0	0
5414	38718	1		0	0	0	0	0	1	0
5415	38718	1		0	0	0	0	0	1	0
5451	38718	1		0	0	0	0	0	1	0
5452	43800	1		0	0	0	0	0	1	0
5453	43800	1		0	0	0	1	0	0	0
5454	43800	1		0	0	0	1	0	0	0
5455	43800	1		0	0	0	1	0	0	0
5456	43800	1		0	0	0	0	0	0	0
5501	38718	1		0	0	0	0	0	1	0
5502	38718	1		0	0	0	0	0	1	0
5503	38718	1		0	0	1	0	0	0	0
5504	38718	1		0	0	0	0	0	1	0
5505	38718	1		0	0	0	0	0	1	0
5551	38718	1		0	0	0	0	0	0	0
5552	38718	1		0	0	0	0	0	0	0
5553	38718	1		0	0	1	0	0	0	0
5554	38718	1		0	0	0	0	0	1	0
5555	38718	1		0	0	1	0	0	0	0
5556	38718	1		0	0	1	0	0	0	0
5557	38718	1		0	0	0	0	0	0	0
5601	38718	1		0	0	0	0	0	0	0
5602	38718	1		0	0	0	0	0	0	0
5603	38718	1		0	0	0	0	0	0	0
5605	38718	1		0	0	0	0	0	0	0
5606	38718	1		0	0	0	0	0	0	0
5651	38718	1		0	0	0	0	0	0	2
5652	38718	1		0	0	0	0	0	0	2
5653	38718	1		0	0	0	0	0	0	1
5654	38718	1		0	0	0	0	0	0	2
5655	38718	1		0	0	0	0	0	0	2
5656	38718	1		0	0	0	0	0	0	1
5657	38718	1		0	0	0	0	0	1	2
5658	38718	1		0	0	0	0	0	0	2
5659	38718	1		0	0	0	0	0	0	2
5660	38718	1		0	0	1	0	0	0	2
5661	38718	1		0	0	1	0	0	0	2
5662	38718	1		0	0	1	0	0	0	2
5663	38718	1		0	0	0	0	0	1	1
5664	38718	1		0	0	0	1	0	0	1
5665	38718	1		0	0	0	1	0	0	1
5666	38718	1		0	0	0	0	0	1	2
5667	38718	1		0	0	0	0	0	0	1
5901	38718	1		0	0	0	0	0	1	0
5902	38718	1		0	0	0	1	0	0	0
5903	38718	1		0	0	0	1	0	0	0
5904	38718	1		0	0	0	0	0	1	0
5905	38718	1		0	0	0	0	0	1	0
5906	38718	1		0	0	0	1	0	0	0
5907	38718	1		0	0	0	1	0	0	0
5908	38718	1		0	0	0	0	0	1	0
5909	38718	1		0	0	0	1	0	0	0
5910	38718	1		0	0	0	0	0	1	0
5911	38718	1		0	0	0	0	0	1	0
5912	38718	1		0	0	0	0	0	1	0
5913	38718	1		0	0	0	1	0	0	0
5914	38718	1		0	0	0	0	0	1	0
5915	38718	1		0	0	0	0	0	1	0
5916	38718	1		0	0	0	1	0	0	0
5917	38718	1		0	0	0	0	0	1	0
5918	38718	1		0	0	1	0	0	0	0
5919	38718	1		0	0	1	0	0	0	0
5920	38718	1		0	0	0	0	0	1	0
5921	38718	1		0	0	1	0	0	0	0
5922	38718	1		0	0	0	0	0	0	0
5923	38718	1		0	0	0	0	0	1	0
5924	38718	1		0	0	0	0	0	1	0
5925	38718	1		0	0	0	1	0	0	0
5926	38718	1		0	0	0	0	0	0	0
5927	38718	1		0	0	0	0	0	0	0
5928	38718	1		0	0	0	0	0	0	0
5929	38718	1		0	0	0	0	0	0	0
5931	38718	1		0	1	0	0	0	0	0
5932	38718	1		0	1	0	0	0	0	0
5933	38718	1		0	0	0	0	0	0	0
5934	38718	1		0	0	0	0	0	1	0
5949	38718	1		0	0	0	0	0	0	0
6101	38718	1		0	0	0	0	0	0	0
6102	38718	1		0	0	0	0	0	0	0
6103	38718	1		0	0	0	0	0	0	0
6104	38718	1		0	0	0	0	0	0	0
6105	38718	1		0	0	0	0	0	0	0
6106	38718	1		0	0	0	0	0	0	0
6107	38718	1		0	0	0	0	0	0	0
6108	38718	1		0	0	0	0	0	0	0
6109	38718	1		0	0	0	0	0	0	0
6110	38718	1		0	0	0	0	0	0	0
6111	38718	1		0	0	0	0	0	0	0
6112	38718	1		0	0	0	0	0	0	0
