category	filename	status	url	title	published	version	doc_key	size	updated_at
notas-tecnicas	Nota Técnica 2015.001 v.1.30 - Publicada em 06-12-2024.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=CGAKR5siRHM=	Nota Técnica 2015.001 v.1.30 - Publicada em 06/12/2024	06-12-2024	1.30	nota-tecnica:2015.001	3126466	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2015.002 - v.1.41 - Publicada em 26-08-2016.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=iaOu3l1k9aE=	Nota Técnica 2015.002 - v.1.41 - Publicada em 26/08/2016	26-08-2016	1.41	nota-tecnica:2015.002	1090088	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2015.003 - v.1.94 - Publicada em 23-06-2017.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=2q67SVnECYk=	Nota Técnica 2015.003 - v.1.94 - Publicada em 23/06/2017	23-06-2017	1.94	nota-tecnica:2015.003	1597588	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2016.001 - v.1.40 - Publicada em 16-07-2018.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=Xvi%204M3GeHU=	Nota Técnica 2016.001 - v.1.40 - Publicada em 16/07/2018	16-07-2018	1.40	nota-tecnica:2016.001	105704	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2016.002 - v.1.61 - Publicada em 10-09-2018.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=9bznzUXCXr0=	Nota Técnica 2016.002 - v.1.61 - Publicada em 10/09/2018	10-09-2018	1.61	nota-tecnica:2016.002	1983509	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2016.003 - v.3.62 - Publicada em 30-10-2023.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=IwSVzZ/ibco=	Nota Técnica 2016.003 - v.3.62 - Publicada em 30/10/2023	30-10-2023	3.62	nota-tecnica:2016.003	461026	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2016.003 - v.3.70 - Publicada em 09-01-2024.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=3AwHG%20inHoY=	Nota Técnica 2016.003 - v.3.70 - Publicada em 09/01/2024	09-01-2024	3.70	nota-tecnica:2016.003	513397	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2017.001 - v.1.50 - Publicada em 07-12-2018.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=5xfrYjX1kSo=	Nota Técnica 2017.001 - v.1.50 - Publicada em 07/12/2018	07-12-2018	1.50	nota-tecnica:2017.001	727901	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2017.002 - v.1.40 - Publicada em 15-01-2020.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=O8deOg40iNU=	Nota Técnica 2017.002 - v.1.40 - Publicada em 15/01/2020	15-01-2020	1.40	nota-tecnica:2017.002	797536	2026-06-22T16:51:20.983Z
notas-tecnicas	Nota Técnica 2018.001 - v.1.10 - Publicada em 27-02-2020.pdf	OK	https://www.nfe.fazenda.gov.br/portal/exibirArquivo.aspx?conteudo=JlPBgTc3TQo=	Nota Técnica 2018.001 - v.1.10 - Publicada em 27/02/2020	27-02-2020	1.10	nota-tecnica:2018.001	490726	2026-06-22T16:51:20.983Z
